Culture,Age,DIV,Genotype,mean_FR,median_FR,Total_FR,N_active_Es,meanSTTC,skewSTTC,netw_density,meanDegree,skewDegree,netw_size,CC1,PL1,GE1,SW1,RC1,BC1,CC2,PL2,GE2,SW2,RC2,BC2,mean_ISI_withinNbursts_ms,mean_ISI_outsideNbursts_ms,CVIofNBI,NBurstRate,frac_in_Nburst,num_RC_nodes_mean,GEraw
MPT200209_7B,DIV21,21,KO,0.012,0.012,0.072,6,0.047,,,,2.572478777,0.421052632,0,5,0,0,0,0,0,5,0,0,0,0,,,,,,0,0
MPT200209_7B,DIV28,28,KO,0.025,0.011,0.075,3,-0.002,,,,,0,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,0,0
MPT200209_7B,DIV35,35,KO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
MPT200209_8A,DIV14,14,WT,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
MPT200209_8A,DIV21,21,WT,0.237,0.061,1.422,6,0.064,,,,3.1814754,0.578947368,1,1,1,1,1,1,1.074584659,1,1,1.074584659,1.047120419,0.980392157,,,,,,6,0.9
MPT200209_8A,DIV28,28,WT,0.737,0.333,9.581,13,0.128,,,,0.784260438,4.052631579,1,1,1,1,1,1,1.101694915,0.995575221,0.965665236,1.106591337,1.257861635,1.007556675,3.407,103.508,0,0.167,0.009,5,0.75
MPT200209_8A,DIV35,35,WT,0.679,0.428,6.79,10,0.098,,,,1.068994103,2.736842105,1.000411316,1,1,1.000411316,1,1,1.238822864,1,1,1.238822864,1.204819277,1.192834256,,,,,,8,0.855555556
MPT200209_8B,DIV14,14,WT,0.034,0.018,0.272,8,0.004,,,,4.006938427,0.157894737,0,7,0,0,0,0,0,7,0,0,0,0,,,,,,0,0
MPT200209_8B,DIV21,21,WT,0.559,0.29,4.472,8,0.086,,,,0.030017589,2.578947368,1.045701007,1.037735849,0.987654321,1.007675516,1.098901099,0.714878017,0.955172588,1.08776267,0.973014063,0.878107527,1.069518717,0.78566125,,,,,,6,0.761904762
MPT200209_8B,DIV28,28,WT,0.311,0.186,4.043,13,0.125,,,,1.44654632,4.421052632,0.970931338,1.007712082,0.998174072,0.963500741,1,1.033626854,1.131624537,1.010309278,0.99756691,1.120077348,1.111111111,1.131618977,,,,,,11,0.876068376
MPT200209_8B,DIV35,35,WT,0.315,0.147,3.15,10,0.19,,,,1.192353697,4.947368421,1,1,1,1,1,1,1.044389997,1,1,1.044389997,1.111111111,1.104972376,,,,,,9,0.933333333
